Title,Price,N_Rooms,Square_meters,Floors,BathRooms,Neighborhood
"Bilocale via dei Portoghesi 18, Montecitorio, Roma",975000,2,75.0,3,2,Centro Storico 
"Quadrilocale piazza del Fico, Piazza Navona, Roma",578000,4,80.0,1,2,Centro Storico 
"Appartamento all'asta via Gagliole 13, Roma, Roma",45600,5,124.0,2,,Centro Storico 
"Appartamento all'asta via di San Giacomo 22, Roma",1144000,4,98.0,1,,Centro Storico 
"Trilocale vicolo del Governo Vecchio, Piazza Navona, Roma",498000,3,59.0,2,,Centro Storico 
"Trilocale via Labicana 16, Colle Oppio, Roma",375000,3,90.0,3,,Centro Storico 
"Appartamento piazza del popolo, Piazza del Popolo, Roma",1270000,5+,160.0,3,,Centro Storico 
"Bilocale via Della Purificazione, Spagna, Roma",365000,2,75.0,0,,Centro Storico 
"Attico via dell'Archetto, Trevi, Roma",950000,5,139.0,4,,Centro Storico 
"Appartamento piazza Navona, Piazza Navona, Roma",650000,5,120.0,1,2,Centro Storico 
"Appartamento piazza Navona, Piazza Navona, Roma",450000,5,120.0,1,2,Centro Storico 
"Bilocale piazza del Fico, Piazza Navona, Roma",620000,2,50.0,1,,Centro Storico 
"Appartamento via dei Pettinari 44, Via Giulia, Roma",890000,5,110.0,3,2,Centro Storico 
"Appartamento via Sardegna, Vittorio Veneto, Roma",650000,5,92.0,1,2,Centro Storico 
"Quadrilocale via Carlo Botta, Colle Oppio, Roma",780000,4,130.0,3,,Centro Storico 
"Trilocale largo di Torre Argentina, Largo Argentina, Roma",2310000,3,165.0,2 - 3,2,Centro Storico 
"Trilocale largo di Torre Argentina, Largo Argentina, Roma",2310000,3,165.0,2,2,Centro Storico 
"Trilocale piazza Rondanini, Pantheon, Roma",1500000,3,146.0,1,2,Centro Storico 
"Quadrilocale via di monte giordano, Piazza Navona, Roma",1050000,4,135.0,1,2,Centro Storico 
"Monolocale via Boncompagni 28, Sallustiano, Roma",360000,,29.0,2,,Centro Storico 
"Appartamento piazza del Paradiso, Campo de' Fiori, Roma",2200000,5,175.0,2,2,Centro Storico 
"Trilocale piazza del Ges�, Largo Argentina, Roma",2310000,3,165.0,2 - 3,2,Centro Storico 
"Trilocale piazza del Ges�, Largo Argentina, Roma",2310000,3,165.0,,2,Centro Storico 
"Monolocale seminterrato, Vittorio Veneto, Roma",195000,,36.0,S,,Centro Storico 
"Bilocale ottimo stato, primo piano, Trevi, Roma",1000000,2,80.0,1,2,Centro Storico 
"Appartamento corso Vittorio Emanuele Ii, Via Giulia, Roma",4000000,5+,457.0,4,3+,Centro Storico 
"Appartamento via del Governo Vecchio, Piazza Navona, Roma",1550000,5+,204.0,2,2,Centro Storico 
"Trilocale via del Boccaccio 22, Barberini, Roma",790000,3,82.0,3,2,Centro Storico 
"Appartamento via Degli Zingari, Monti, Roma",1200000,5+,126.0,2,2,Centro Storico 
"Appartamento via del Vantaggio, Piazza del Popolo, Roma",1140000,5,110.0,2,3+,Centro Storico 
"Quadrilocale viale del Monte Oppio 24, Colle Oppio, Roma",1190000,4,163.0,5,2,Centro Storico 
"Trilocale via delle Muratte, Trevi, Roma",829000,3,100.0,3,,Centro Storico 
"Bilocale via della Stelletta, Montecitorio, Roma",540000,2,60.0,0,,Centro Storico 
"Attico via di Capo le Case, Spagna, Roma",4000000,5,203.0,5,3,Centro Storico 
"Trilocale largo di Torre Argentina, Largo Argentina, Roma",2310000,3,165.0,4 - 5,2,Centro Storico 
"Monolocale via Baccina 85, Monti, Roma",360000,,31.0,4,,Centro Storico 
"Trilocale piazza del Ges�, Largo Argentina, Roma",2310000,3,165.0,4 - 5,2,Centro Storico 
"Casa indipendente all'asta via del Quarto Miglio, 7 7, Roma",802200,,660.0,,,Centro Storico 
"Appartamento via Borgognona, Spagna, Roma",1900000,5,198.0,1,2,Centro Storico 
"Appartamento via Borgognona, Spagna, Roma",1900000,5+,198.0,1,2,Centro Storico 
